Q1 2019 Architecture S1,Q1 2019 Architecture S2,Q1 2019 Architecture S3,Q1 2019 Architecture S4,Q2 2019 Architecture S1,Q2 2019 Architecture S2,Q2 2019 Architecture S3,Q2 2019 Architecture S4,Q3 2019 Architecture S1,Q3 2019 Architecture S2,Q3 2019 Architecture S3,Q3 2019 Architecture S4,Q4 2019 Architecture S1,Q4 2019 Architecture S2,Q4 2019 Architecture S3,Q4 2019 Architecture S4,Q1 2020 Architecture S1,Q1 2020 Architecture S2,Q1 2020 Architecture S3,Q1 2020 Architecture S4,Q2 2020 Architecture S1,Q2 2020 Architecture S2,Q2 2020 Architecture S3,Q3 2020 Architecture S1,Q3 2020 Architecture S2,Q3 2020 Architecture S3,Q3 2020 Architecture S4,Q4 2020 Architecture S1,Q4 2020 Architecture S2,Q4 2020 Architecture S3,Q4 2020 Architecture S4,Q1 2019 Charge Integrity S1,Q1 2019 Charge Integrity S2,Q1 2019 Charge Integrity S3,Q1 2019 Charge Integrity S4,Q2 2019 Charge Integrity S1,Q2 2019 Charge Integrity S2,Q2 2019 Charge Integrity S3,Q3 2019 Charge Integrity S1,Q3 2019 Charge Integrity S2,Q3 2019 Charge Integrity S3,Q3 2019 Charge Integrity S4,Q4 2019 Charge Integrity S1,Q4 2019 Charge Integrity S2,Q4 2019 Charge Integrity S3,Q1 2020 Charge Integrity S1,Q1 2020 Charge Integrity S2,Q1 2020 Charge Integrity S3,Q1 2020 Charge Integrity S4,Q2 2020 Charge Integrity S1,Q2 2020 Charge Integrity S2,Q2 2020 Charge Integrity S3,Q2 2020 Charge Integrity S4,Q3 2020 Charge Integrity S1,Q3 2020 Charge Integrity S2,Q3 2020 Charge Integrity S3,Q4 2020 Charge Integrity S1,Q4 2020 Charge Integrity S2,Q4 2020 Charge Integrity S3,Q4 2020 Charge Integrity S4,Q1 2021 Charge Integrity S1,Q1 2021 Charge Integrity S2,Q1 2021 Charge Integrity S3,Q1 2019 Claims S1,Q1 2019 Claims S2,Q1 2019 Claims S3,Q1 2019 Claims S4,Q2 2019 Claims S1,Q2 2019 Claims S2,Q2 2019 Claims S3,Q2 2019 Claims S4,Q3 2019 Claims S2,Q3 2019 Claims S3,Q3 2019 Claims S4,Q4 2019 Claims S1,Q4 2019 Claims S2,Q4 2019 Claims S3,Q4 2019 Claims S4,Q1 2020 Claims S1,Q1 2020 Claims S2,Q1 2020 Claims S3,Q1 2020 Claims S4,Q2 2020 Claims S1,Q2 2020 Claims S2,Q2 2020 Claims S3,Q2 2020 Claims S4,Q3 2020 Claims S2,Q3 2020 Claims S3,Q3 2020 Claims S4,Q4 2020 Claims S1,Q4 2020 Claims S2,Q4 2020 Claims S3,Q4 2020 Claims S4,Q1 2021 Claims S1,Q1 2021 Claims S2,Q1 2021 Claims S3,Q1 2021 Claims S4,Q2 2019 Contract Management S2,Q2 2019 Contract Management S3,Q3 2019 Contract Management S2,Q3 2019 Contract Management S3,Q4 2019 Contract Management S2,Q4 2019 Contract Management S3,Q1 2020 Contract Management S1,Q1 2020 Contract Management S2,Q1 2020 Contract Management S3,Q1 2020 Contract Management S4,Q3 2020 Contract Management S 2,Q4 2020 Contract Management S 1,Q4 2020 Contract Management S 2,Q4 2020 Contract Management S 3,Q4 2020 Contract Management S4,Q1 2021 Contract Management S1,Q1 2021 Contract Management S2,Q1 2021 Contract Management S3,Q1 2021 Contract Management S4,Q4 2018 Coverage Detection S2,Q4 2018 Coverage Detection S3,Q4 2018 Coverage Detection S4,Q1 2019 Coverage Detection S3,Q2 2019 Coverage Detection S3,Q4 2019 Coverage Detection S3,Q1 2021 Coverage Detection S1,Q1 2021 Coverage Detection S2,Q1 2021 Coverage Detection S3,Q1 2021 Coverage Detection S4,Q4 2018 Denial Management S3,Q1 2019 Denial Management S3,Q1 2019 Denial Management S4,Q2 2019 Denial Management S3,Q2 2019 Denial Management S4,Q3 2019 Denial Management S4,Q4 2019 Denial Management S3,Q1 2020 Denial Management S2,Q1 2020 Denial Management S3,Q1 2020 Denial Management S4,Q2 2020 Denial Management S1,Q2 2020 Denial Management S3,Q2 2020 Denial Management S2,Q2 2020 Denial Management S4,Q3 2020 Denial Management S3,Q4 2020 Denial Management S3,Q4 2020 Denial Management S4,Q1 2021 Denial Management S1,Q1 2021 Denial Management S2,Q1 2021 Denial Management S3,Q1 2021 Denial Management S4,Q1 2020 Eligibility S1,Q1 2020 Eligibility S2,Q1 2020 Eligibility S3,Q2 2019 Eligibility S1,Q2 2019 Eligibility S3,Q2 2019 Eligibility S4,Q3 2019 Eligibility S2,Q4 2019 Eligibility S3,Q4 2019 Eligibility S4,Q2 2020 Eligibility S1,Q2 2020 Eligibility S2,Q2 2020 Eligibility S3,Q2 2020 Eligibility S4,Q3 2020 Eligibility S3,Q3 2020 Eligibility S4,Q4 2020 Eligibility S1,Q4 2020 Eligibility S2,Q4 2020 Eligibility S3,Q4 2020 Eligibility S4,Q1 2019 Estimation S1,Q1 2019 Estimation S2,Q1 2019 Estimation S3,Q1 2019 Estimation S4,Q2 2019 Estimation S3,Q2 2019 Estimation S4,Q3 2019 Estimation S4,Q4 2019 Estimation S2,Q4 2019 Estimation S4,Q1 2020 Estimation S2,Q2 2020 Estimation S1,Q2 2020 Estimation S2,Q2 2020 Estimation S3,Q2 2020 Estimation S4,Q1 2020 Infrastructure S1,Q4 2018 Internal S2,Q4 2018 Internal S4,Q1 2019 Internal S3,Q1 2019 Internal S4,Q2 2019 Internal S2,Q2 2019 Internal S3,Q2 2019 Internal S4,Q3 2019 Internal S2,Q3 2019 Internal S3,Q3 2019 Internal S4,Q4 2019 Internal S4,Q1 2020 Internal S1,Q1 2020 Internal S2,Q1 2020 Internal S3,Q1 2020 Internal S4,Q2 2020 Internal S1,Q2 2020 Internal S2,Q2 2020 Internal S3,Q2 2020 Internal S4,Q4 2020 Internal S4,Q1 2021 Internal S1,Q1 2021 Internal S2,Q1 2021 Internal S3,Q1 2021 Internal S4,Q1 2019 Patient Payments S2,Q1 2019 Patient Payments S3,Q1 2019 Patient Payments S4,Q2 2019 Patient Payments S2,Q2 2019 Patient Payments S3,Q2 2019 Patient Payments S4,Q3 2019 Patient Payments S2,Q3 2019 Patient Payments S3,Q3 2019 Patient Payments S4,Q4 2019 Patient Payments S2,Q4 2019 Patient Payments S3,Q4 2019 Patient Payments S4,Q1 2020 Patient Payments S2,Q1 2020 Patient Payments S3,Q1 2020 Patient Payments S4,Q2 2020 Patient Payments S1,Q2 2020 Patient Payments S2,Q2 2020 Patient Payments S3,Q2 2020 Patient Payments S4,Q3 2020 Patient Payments S1,Q3 2020 Patient Payments S2,Q3 2020 Patient Payments S3,Q3 2020 Patient Payments S4,Q4 2020 Patient Payments S1,Q4 2020 Patient Payments S2,Q4 2020 Patient Payments S3,Q4 2020 Patient Payments S4,Q1 2021 Patient Payments S1,Q1 2021 Patient Payments S2,Q1 2021 Patient Payments S3,Q1 2021 Patient Payments S4,Q1 2019 Remits S2,Q1 2019 Remits S3,Q2 2019 Remits S1,Q2 2019 Remits S3,Q2 2019 Remits S4,Q3 2019 Remits S2,Q3 2019 Remits S3,Q3 2019 Remits S4,Q4 2019 Remits S1,Q4 2019 Remits S2,Q4 2019 Remits S3,Q4 2019 Remits S4,Q1 2020 Remits S2,Q1 2020 Remits S3,Q1 2020 Remits S4,Q2 2020 Remits S1,Q2 2020 Remits S2,Q2 2020 Remits S3,Q2 2020 Remits S4,Q3 2020 Remits S3,Q3 2020 Remits S4,Q4 2020 Remits S1,Q4 2020 Remits S2,Q4 2020 Remits S3,Q4 2020 Remits S4,Q1 2021 Remits S1,Q1 2021 Remits S2,Q1 2021 Remits S3,Q1 2021 Remits S4,Q1 2019 All S1,Q2 2019 All S1,Q3 2019 All S1,Q4 2019 All S1,Q1 2020 All S1,Q2 2020 All S1,Q1 2019 All S2,Q2 2019 All S2,Q3 2019 All S2,Q4 2019 All S2,Q1 2020 AllS2,Q1 2019 All S3,Q2 2019 All S3,Q3 2019 All S3,Q4 2019 All S3,Q1 2020 All S3,Q4 2018 S4,Q2 2019 All S4,Q3 2019 All S4,Q4 2019 All S4,Q1 2020 All S4,Q2 2020 All S1,Q2 2020 All S2,Q2 2020 All S3,Q2 2020 All S4,Q3 2020 All S1,Q3 2020 All S2,Q3 2020 All S3,Q3 2020 All S4,Q4 2020 All S1,Q4 2020 All S2,Q4 2020 All S3,Q4 2020 All S4,Q1 2021 All S1,Q1 2021 All S2,Q1 2021 All S3,Q1 2021 All S4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.65,120.18,39.34,11.26,,,,,,,,,,,,,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.15,32.19,71.05,19.91,,,,,,,,,,,,,16.18,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.06,88.8,20.76,16.76,,,,,,,,,,,,,8.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.84,14.12,38.72,25.04,,,,,,,,,,,,,0.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.23,27.27,13.76,32.11,,,,,,,,,,,,,27.04,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.06,13.86,33.09,27.96,,,,,,,,,,,,,18.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.89,108.21,11.96,37.09,,,,,,,,,,,,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,23.14,13.84,19.2,,,,,,,,,,,,,1.92,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,26.99,21.17,12.01,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.92,11.84,16.03,11.82,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.91,43.06,24.96,11.35,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,18.12,59.96,27.12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.95,11.05,22.11,19.09,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.94,26.14,16.01,23.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.97,70.2,15.9,43.89,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.05,39.84,11.96,28.76,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.93,14.44,119.96,21.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,43.06,22.4,22.69,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.91,20.17,17.8,52.91,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.88,57.1,81.95,34.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.82,23.86,17.5,17.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.78,13.14,16.67,35.17,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.84,16.84,12.95,29.79,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.82,13.95,,46.03,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.85,27.94,,37.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84,46.93,,14.1,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05,16.09,,20.04,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.2,32.86,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.11,14.1,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.01,28.04,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.96,35.87,,,,,,,,,,,,,,,,,,,,,,,,
